City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,udachnyy,66.4167,112.4,257.52,93,100,8.59,RU,1670091574
329,chateaudun,48.0833,1.3333,276.45,84,64,4.33,FR,1670091574
330,kaduna,10.5222,7.4383,300.67,24,34,2.81,NG,1670091574
331,uvat,59.1433,68.8953,256.22,96,74,2.53,RU,1670091575
332,atambua,-9.1061,124.8925,295.73,80,67,1.53,ID,1670091575
333,pacific grove,36.6177,-121.9166,285.73,92,100,1.34,US,1670091576
334,sabha,27.0377,14.4283,293.93,23,3,4.34,LY,1670091576
335,nehe,48.4833,124.8333,244.79,88,8,1.7,CN,1670091577
336,cayenne,4.9333,-52.3333,299.17,83,75,3.09,GF,1670091577
337,tucurui,-3.7661,-49.6725,302.24,70,98,2.21,BR,1670091416
338,kaeo,-35.1,173.7833,285.73,88,5,1.61,NZ,1670091578
339,cefalu,38.0386,14.0229,291.78,67,63,1.79,IT,1670091578
340,tezu,27.9167,96.1667,289.96,40,0,1.98,IN,1670091578
341,macon,39.8667,-88.9668,272.52,55,0,4.12,US,1670091579
342,esil,51.9556,66.4042,253.44,95,15,4.52,KZ,1670091579
343,voskresenskoye,56.8381,45.4317,255.93,96,83,1.22,RU,1670091580
344,parana,-31.732,-60.5238,307.34,20,0,1.78,AR,1670091364
345,muroto,33.2833,134.15,287.42,78,98,4.33,JP,1670091341
346,cehegin,38.0924,-1.7985,282.32,83,27,5.23,ES,1670091580
347,belaya gora,68.5333,146.4167,245.22,89,100,4.32,RU,1670091581
348,clonakilty,51.6231,-8.8706,279.71,77,100,3.67,IE,1670091581
349,amapa,1.0,-52.0,302.75,60,92,2.78,BR,1670091129
350,petropavlovsk-kamchatskiy,53.0452,158.6483,254.48,78,40,4.0,RU,1670091581
351,miraflores,19.2167,-98.8083,295.57,39,1,0.82,MX,1670091050
352,abancay,-13.6339,-72.8814,298.61,23,10,3.38,PE,1670091582
353,gat,31.61,34.7642,292.26,49,77,2.12,IL,1670091582
354,minsk,53.9,27.5667,270.01,94,99,4.82,BY,1670091376
355,linjiang,41.8069,126.9078,256.95,90,5,1.17,CN,1670091583
356,ous,60.9058,61.5186,255.66,95,32,1.82,RU,1670091583
357,salina,38.8403,-97.6114,273.72,46,0,1.79,US,1670091584
358,sao miguel do araguaia,-13.275,-50.1628,301.16,69,100,3.95,BR,1670091584
359,faya,18.3851,42.4509,287.44,74,12,1.7,SA,1670091088
360,polyarnyy,69.1989,33.4478,267.92,94,98,3.77,RU,1670091585
361,souillac,-20.5167,57.5167,297.36,78,40,1.54,MU,1670091585
362,manono,-7.3,27.4167,294.56,93,75,2.22,CD,1670091586
363,wenling,28.3669,121.36,284.58,94,100,5.16,CN,1670091586
364,trapani,37.8333,12.6667,289.76,94,40,5.14,IT,1670091446
